species_name,chr_id,chr_type,chr_size_bp,centromere_start,centromere_end
Aves,scaffold_1,scaffold,2000000,,
Aves,scaffold_2,scaffold,3000000,,
C_elegans,contig_1,contig,10000000,,
Drosophila,2L,chromosome,5000000,2400000,2600000
Zebrafish,chr5,chromosome,4000000,1900000,2100000
Arabidopsis,Chr1,chromosome,6000000,2900000,3100000
Yeast,chrI,chromosome,230218,110000,120000
Platypus,Ultra_contig1,contig,1000000,,
Chicken,chr,chromosome,5000000,2400000,2600000
Mouse,chr1,chromosome,3000000,1400000,1600000
Homo_sapiens,chr1,chromosome,2000000,900000,1100000
Homo_sapiens,chr2,chromosome,2500000,1150000,1350000
Homo_sapiens,chr3,chromosome,3000000,1400000,1600000
Homo_sapiens,chr4,chromosome,3500000,1650000,1850000
Homo_sapiens,chr5,chromosome,4000000,1900000,2100000
Homo_sapiens,chrX,chromosome,4500000,2150000,2350000
Homo_sapiens,chrY,chromosome,5000000,2400000,2600000
