query_name,query_chr,query_start,query_end,query_strand,ref_chr,ref_start,ref_end,ref_species,qry_lvl
Aves,scaffold_1,1,1000,+,chr1,500,1500,Homo_sapiens,scaffold
Aves,scaffold_2,4000,5000,-,chr2,1000,2000,Homo_sapiens,scaffold
C_elegans,contig_1,1,10000000,+,chr3,1,3000000,Homo_sapiens,contig
Drosophila,2L,100000,100001,+,chr4,3000000,3500000,Homo_sapiens,chromosome
Zebrafish,chr5,1,1000,+,chr5,1,1001,Homo_sapiens,chromosome
Arabidopsis,Chr1,1000,2000,+,chrX,1,1000000,Homo_sapiens,chromosome
Yeast,chrI,1,230218,+,chr1,1,230218,Homo_sapiens,chromosome
Platypus,Ultra_contig1,50000,60000,+,chr1,1000000,1010000,Homo_sapiens,contig
Chicken,chr,1,5000,+,chrY,1,5000,Homo_sapiens,chromosome
Chicken,chr,1,500000,+,chr3,1,2335000,Homo_sapiens,chromosome
Mouse,chr1,1000000,2000001,+,chr1,1000000,1000001,Homo_sapiens,chromosome
