ref_chr,ref_start,ref_end,breakpoint
chr1,193548354,193551636,BP_chr1_1
chr1,208408032,208417012,BP_chr1_2
chr1,104762990,104769466,BP_chr1_3
chr1,122727198,122732516,BP_chr1_4
chr2,179086262,179088693,BP_chr2_1
chr3,21078981,21081800,BP_chr3_1
chr4,21544021,21546151,BP_chr4_1
chr5,124215363,124219021,BP_chr5_1
chr5,65016908,65026474,BP_chr5_2
chr6,167539993,167544252,BP_chr6_1
chr7,39783871,39786345,BP_chr7_1
chr7,54316898,54321141,BP_chr7_2
chr7,40262344,40266478,BP_chr7_3
chr7,156323510,156324869,BP_chr7_4
chr8,84705487,84707628,BP_chr8_1
chr8,77778179,77783179,BP_chr8_2
chr8,110964279,110968640,BP_chr8_3
chr9,89179814,89184081,BP_chr9_1
chr9,64941271,64947199,BP_chr9_2
chr9,39375054,39381960,BP_chr9_3
chr9,109397308,109401581,BP_chr9_4
chr10,16894513,16897524,BP_chr10_1
chr10,28920898,28927444,BP_chr10_2
chr10,46805646,46808475,BP_chr10_3
chr10,14657759,14665227,BP_chr10_4
chr11,125613391,125618090,BP_chr11_1
chr11,76213335,76215389,BP_chr11_2
chr11,3425315,3432059,BP_chr11_3
chr11,66899468,66907448,BP_chr11_4
chr12,118369303,118373718,BP_chr12_1
chr12,23529562,23536780,BP_chr12_2
chr13,39642531,39651364,BP_chr13_1
chr14,91857997,91863455,BP_chr14_1
chr14,55877727,55881036,BP_chr14_2
chr14,26787290,26794558,BP_chr14_3
chr15,82139028,82144037,BP_chr15_1
chr15,98799385,98802557,BP_chr15_2
chr15,79208265,79217580,BP_chr15_3
chr16,22676162,22683951,BP_chr16_1
chr17,61120155,61127499,BP_chr17_1
chr17,65654800,65664788,BP_chr17_2
chr17,30832364,30837518,BP_chr17_3
chr17,62299283,62302219,BP_chr17_4
chr18,8656255,8664406,BP_chr18_1
chr19,43726563,43730799,BP_chr19_1
chr19,39306376,39309728,BP_chr19_2
chr20,45003073,45012629,BP_chr20_1
chr21,23829530,23831476,BP_chr21_1
chr21,23542985,23545424,BP_chr21_2
chr22,30696658,30702515,BP_chr22_1
chrX,32081908,32083290,BP_chrX_1
chrY,2944180,2953671,BP_chrY_1
chrY,11110186,11111544,BP_chrY_2
chrY,15248530,15252986,BP_chrY_3
chrY,10161403,10169029,BP_chrY_4
