chromosome,genomic_accession,start,end,strand,class,locus_tag,symbol,name,GeneID
chr1,NC_897549.1,210218281,210221500,-,protein_coding,LOC658582,GENE1,Gene 1 protein,17483
chr1,NC_598369.1,61219361,61225648,+,tRNA,LOC676510,GENE2,Gene 2 protein,22643
chr1,NC_736059.1,109055219,109064731,-,rRNA,LOC543692,GENE3,Gene 3 protein,28760
chr1,NC_426858.1,59476958,59521294,+,tRNA,LOC518373,GENE4,Gene 4 protein,89039
chr1,NC_642717.1,44028336,44056870,-,pseudogene,LOC573417,GENE5,Gene 5 protein,16860
chr1,NC_167136.1,146456119,146489412,+,lncRNA,LOC454508,GENE6,Gene 6 protein,3757
chr1,NC_330914.1,158330518,158367776,+,rRNA,LOC107540,GENE7,Gene 7 protein,10305
chr1,NC_170674.1,156300541,156343619,+,lncRNA,LOC132938,GENE8,Gene 8 protein,44309
chr1,NC_349565.1,234300880,234319868,+,rRNA,LOC392004,GENE9,Gene 9 protein,88684
chr1,NC_665427.1,77922269,77935488,-,lncRNA,LOC238739,GENE10,Gene 10 protein,95811
chr1,NC_922733.1,118327179,118371108,-,lncRNA,LOC595948,GENE11,Gene 11 protein,54354
chr1,NC_201639.1,186361879,186399177,+,protein_coding,LOC790993,GENE12,Gene 12 protein,57498
chr1,NC_531071.1,3709736,3729755,-,pseudogene,LOC589710,GENE13,Gene 13 protein,96561
chr1,NC_785197.1,18261634,18268049,+,tRNA,LOC777568,GENE14,Gene 14 protein,13899
chr1,NC_863587.1,146543583,146588508,+,pseudogene,LOC455784,GENE15,Gene 15 protein,15322
chr1,NC_299448.1,206664923,206671874,+,lncRNA,LOC662336,GENE16,Gene 16 protein,59800
chr1,NC_292401.1,135453692,135462699,+,pseudogene,LOC392075,GENE17,Gene 17 protein,61637
chr1,NC_564656.1,66418090,66460922,+,protein_coding,LOC947272,GENE18,Gene 18 protein,73132
chr1,NC_783823.1,2255748,2287271,+,protein_coding,LOC666847,GENE19,Gene 19 protein,2934
chr1,NC_274389.1,166126013,166148217,+,lncRNA,LOC526156,GENE20,Gene 20 protein,64653
chr1,NC_520521.1,9010852,9031134,-,lncRNA,LOC161483,GENE21,Gene 21 protein,22579
chr1,NC_509386.1,172745754,172746831,-,protein_coding,LOC378085,GENE22,Gene 22 protein,60638
chr1,NC_830429.1,99165241,99186852,-,pseudogene,LOC865990,GENE23,Gene 23 protein,73845
chr1,NC_299122.1,15976696,15991756,-,lncRNA,LOC411120,GENE24,Gene 24 protein,29534
chr1,NC_871476.1,110938825,110958345,+,rRNA,LOC668532,GENE25,Gene 25 protein,8989
chr1,NC_152578.1,17706951,17717461,-,protein_coding,LOC712554,GENE26,Gene 26 protein,63493
chr1,NC_632496.1,112982279,113011452,+,protein_coding,LOC184002,GENE27,Gene 27 protein,25356
chr1,NC_171262.1,106045887,106058841,+,rRNA,LOC808011,GENE28,Gene 28 protein,31828
chr1,NC_697347.1,220766277,220773261,-,protein_coding,LOC358175,GENE29,Gene 29 protein,76880
chr1,NC_185965.1,5445854,5465428,+,rRNA,LOC539589,GENE30,Gene 30 protein,87163
chr1,NC_314181.1,64465536,64485632,-,miRNA,LOC802258,GENE31,Gene 31 protein,94872
chr1,NC_378517.1,184192816,184227832,-,lncRNA,LOC515011,GENE32,Gene 32 protein,18154
chr1,NC_431535.1,70890126,70936684,-,pseudogene,LOC888387,GENE33,Gene 33 protein,10508
chr1,NC_751332.1,136926817,136946198,+,pseudogene,LOC690341,GENE34,Gene 34 protein,14104
chr1,NC_323508.1,17791444,17828899,+,rRNA,LOC630458,GENE35,Gene 35 protein,35760
chr1,NC_172132.1,178450183,178455201,+,miRNA,LOC356150,GENE36,Gene 36 protein,49434
chr1,NC_559469.1,184136390,184139360,-,lncRNA,LOC974244,GENE37,Gene 37 protein,72200
chr1,NC_946305.1,242886501,242914703,-,rRNA,LOC785743,GENE38,Gene 38 protein,70329
chr1,NC_956795.1,11730982,11749568,+,tRNA,LOC681542,GENE39,Gene 39 protein,40240
chr1,NC_377312.1,96331367,96363640,+,lncRNA,LOC221035,GENE40,Gene 40 protein,15029
chr1,NC_395442.1,61398111,61414485,+,miRNA,LOC734210,GENE41,Gene 41 protein,28607
chr1,NC_820892.1,15686926,15693714,-,lncRNA,LOC765046,GENE42,Gene 42 protein,35600
chr2,NC_987204.1,143814291,143840344,-,miRNA,LOC153266,GENE1,Gene 1 protein,13097
chr2,NC_146228.1,81243014,81244936,-,miRNA,LOC103717,GENE2,Gene 2 protein,44719
chr2,NC_374680.1,165873731,165885520,+,tRNA,LOC269430,GENE3,Gene 3 protein,98154
chr2,NC_839945.1,10421336,10423456,-,rRNA,LOC548462,GENE4,Gene 4 protein,74519
chr2,NC_178898.1,83767964,83801118,+,protein_coding,LOC824586,GENE5,Gene 5 protein,20536
chr2,NC_710805.1,77959104,77998245,+,miRNA,LOC679364,GENE6,Gene 6 protein,20410
chr2,NC_143860.1,73305955,73325984,-,lncRNA,LOC423232,GENE7,Gene 7 protein,48795
chr2,NC_320281.1,114191841,114225106,+,miRNA,LOC815198,GENE8,Gene 8 protein,33706
chr2,NC_918011.1,7683354,7728226,+,miRNA,LOC687080,GENE9,Gene 9 protein,54264
chr2,NC_270395.1,173685525,173710235,+,lncRNA,LOC938742,GENE10,Gene 10 protein,24206
chr2,NC_288073.1,16513486,16520857,-,protein_coding,LOC872343,GENE11,Gene 11 protein,44540
chr2,NC_870763.1,83852812,83860171,-,tRNA,LOC950132,GENE12,Gene 12 protein,33527
chr2,NC_925622.1,178160211,178201842,-,lncRNA,LOC835343,GENE13,Gene 13 protein,15168
chr2,NC_593554.1,9928366,9965362,-,protein_coding,LOC333238,GENE14,Gene 14 protein,27158
chr2,NC_420015.1,171300135,171315517,-,miRNA,LOC960394,GENE15,Gene 15 protein,30831
chr2,NC_792094.1,145936355,145973014,+,protein_coding,LOC302511,GENE16,Gene 16 protein,53227
chr2,NC_172792.1,94082380,94103989,-,miRNA,LOC910891,GENE17,Gene 17 protein,37585
