chromosome,size,centromere_start,centromere_end
chr1,248956422,99500765,103193508
chr2,242193529,81419063,87723635
chr3,198295559,45651476,49221482
chr4,190214555,107312554,110448628
chr5,181538259,68604057,75076528
chr6,170805979,77042297,81180539
chr7,159345973,48290205,51081948
chr8,145138636,58673165,60776520
chr9,138394717,40530551,48195340
chr10,133797422,34465107,41648847
chr11,135086622,23978985,28232867
chr12,133275309,39152453,44682862
chr13,114364328,37156467,44304048
chr14,107043718,35711206,39665560
chr15,101991189,37149929,41578317
chr16,90338345,31305378,33833556
chr17,83257441,24768065,30184729
chr18,80373285,43504220,48889879
chr19,58617616,8636018,12101707
chr20,64444167,29769490,31837638
chr21,46709983,12849558,18906076
chr22,50818468,13830845,18500840
chrX,156040895,46287209,53085878
chrY,57227415,19997960,23868888
