species_name,chr_id,chr_type,chr_size_bp,centromere_start,centromere_end
Pan_troglodytes,chr1,chromosome,224244399,93700000,95700000
Pan_troglodytes,chr2,chromosome,182055439,81800000,84800000
Pan_troglodytes,chrX,chromosome,145953222,55100000,59000000
Mus_musculus,chr1,chromosome,195471971,87400000,89200000
Mus_musculus,chr2,chromosome,182113224,71800000,73800000
Mus_musculus,chrX,chromosome,171031299,58100000,61100000
Danio_rerio,chr5,chromosome,75682077,33900000,35900000
Danio_rerio,chr7,chromosome,80974532,37800000,39800000
Drosophila_melanogaster,2L,chromosome,23513712,11200000,11400000
Drosophila_melanogaster,2R,chromosome,25286936,12100000,12300000
