chromosome,genomic_accession,start,end,strand,class,locus_tag,,name,GeneID
chr1,NC_000001.11,11874,14409,+,transcribed_pseudogene,,DDX11L1,DEAD/H-box helicase 11 like 1 (pseudogene),100287102
chr1,NC_000001.11,14362,29370,-,transcribed_pseudogene,,WASH7P,"WASP family homolog 7, pseudogene",653635
chr1,NC_000001.11,17369,17436,-,miRNA,,MIR6859-1,microRNA 6859-1,102466751
chr1,NC_000001.11,29774,35418,+,lncRNA,,MIR1302-2HG,MIR1302-2 host gene,107985730
chr1,NC_000001.11,30366,30503,+,miRNA,,MIR1302-2,microRNA 1302-2,100302278
chr1,NC_000001.11,34611,36081,-,lncRNA,,FAM138A,family with sequence similarity 138 member A,645520
chr1,NC_000001.11,52453,53396,+,pseudogene,,OR4G4P,olfactory receptor family 4 subfamily G member 4 pseudogene,79504
chr1,NC_000001.11,63016,63885,+,pseudogene,,OR4G11P,olfactory receptor family 4 subfamily G member 11 pseudogene,403263
chr1,NC_000001.11,65419,71585,+,protein_coding,,OR4F5,olfactory receptor family 4 subfamily F member 5,79501
chr1,NC_000001.11,95222,107727,+,lncRNA,,LOC124903816,uncharacterized LOC124903816,124903816
chr1,NC_000001.11,120849,175246,-,lncRNA,,LOC124900384,uncharacterized LOC124900384,124900384
chr1,NC_000001.11,126642,129225,-,pseudogene,,SEPTIN14P18,septin 14 pseudogene 18,107126284
chr1,NC_000001.11,131068,134836,+,pseudogene,,CICP27,capicua transcriptional repressor pseudogene 27,100420257
chr1,NC_000001.11,134773,140566,-,lncRNA,,LOC729737,uncharacterized LOC729737,729737
chr1,NC_000001.11,157784,157887,-,pseudogene,,RNU6-1100P,"RNA, U6 small nuclear 1100, pseudogene",106480049
chr1,NC_000001.11,164689,164792,+,pseudogene,,GTF2IP10,general transcription factor IIi pseudogene 10,107403151
chr1,NC_000001.11,177308,180105,-,lncRNA,,LOC124903814,uncharacterized LOC124903814,124903814
chr1,NC_000001.11,182388,184878,+,transcribed_pseudogene,,DDX11L17,DEAD/H-box helicase 11 like 17 (pseudogene),102725121
chr1,NC_000001.11,184916,199875,-,transcribed_pseudogene,,WASH9P,"WAS protein family homolog 9, pseudogene",100996442
chr1,NC_000001.11,187891,187958,-,miRNA,,MIR6859-2,microRNA 6859-2,102465909
chr1,NC_000001.11,258511,259036,-,pseudogene,,RPL23AP21,ribosomal protein L23a pseudogene 21,728481
chr1,NC_000001.11,262719,297504,-,lncRNA,,LOC127239154,uncharacterized LOC127239154,127239154
chr1,NC_000001.11,273223,284291,+,lncRNA,,LOC124903815,uncharacterized LOC124903815,124903815
chr1,NC_000001.11,347969,348441,-,pseudogene,,RPL23AP24,ribosomal protein L23a pseudogene 24,728517
chr1,NC_000001.11,350706,358545,-,lncRNA,,LOC124900618,uncharacterized LOC124900618,124900618
chr1,NC_000001.11,365134,382235,-,protein_coding,,LOC112268260,uncharacterized LOC112268260,112268260
chr1,NC_000001.11,439764,440270,+,pseudogene,,WBP1LP7,WBP1L pseudogene 7,106479030
chr1,NC_000001.11,450740,451678,-,protein_coding,,OR4F29,olfactory receptor family 4 subfamily F member 29,729759
chr1,NC_000001.11,484833,485210,-,pseudogene,,SEPTIN14P13,septin 14 pseudogene 13,106481733
chr1,NC_000001.11,487055,490819,+,pseudogene,,CICP7,capicua transcriptional repressor pseudogene 7,100288667
