query_name,query_chr,query_start,query_end,query_strand,ref_chr,ref_start,ref_end,ref_species,qry_lvl
Homo_sapiens,chr1,1000000,5000000,+,chr1,1000000,5000000,Mus_musculus,chromosome
Homo_sapiens,chr2,15000000,25000000,-,chr2,15000000,25000000,Mus_musculus,chromosome
Pan_troglodytes,chr1,100000,500000,+,chr1,100000,500000,Mus_musculus,chromosome
Pan_troglodytes,chr2,3000000,4000000,-,chr2,3000000,4000000,Mus_musculus,chromosome
Canis_lupus,chrA,5000000,15000000,+,chr1,5000000,15000000,Mus_musculus,chromosome
Canis_lupus,chrB,1000000,2000000,-,chr2,1000000,2000000,Mus_musculus,chromosome
Gallus_gallus,chr1,10000,20000,+,chr1,10000,20000,Mus_musculus,chromosome
Gallus_gallus,chr2,30000,40000,-,chr2,30000,40000,Mus_musculus,chromosome
Danio_rerio,chr5,1,75682077,+,chr1,1,195471971,Mus_musculus,chromosome
Danio_rerio,chr7,1,80974532,-,chr2,1,182113224,Mus_musculus,chromosome
Arabidopsis_thaliana,chr1,100,30427571,+,chr3,100,160039580,Mus_musculus,chromosome
Arabidopsis_thaliana,chr2,100,19698189,-,chr4,100,156508016,Mus_musculus,chromosome
Saccharomyces_cerevisiae,chrI,1,230218,+,miniChr,1,1000000,Mus_musculus,chromosome
Saccharomyces_cerevisiae,chrII,1,813184,-,chr_special,1,50000000,Mus_musculus,chromosome
Drosophila_melanogaster,2L,5000000,15000000,+,chrX,10000000,15000000,Mus_musculus,chromosome
Drosophila_melanogaster,2R,20000000,30000000,-,chrY,20000000,30000000,Mus_musculus,chromosome
