query_name,query_chr,query_start,query_end,query_strand,ref_chr,ref_start,ref_end,ref_species,qry_lvl
Species_1,chr1,12506305,65737419,+,chr1,73073914,150638768,Reference,chromosome
Species_1,chr1,155777819,193280465,-,chr1,159428240,203139760,Reference,chromosome
Species_1,chr9,7404003,16443492,+,chr9,17887294,32378291,Reference,chromosome
Species_1,chr9,36562619,42877164,-,chr9,37634821,45165849,Reference,chromosome
Species_1,chr9,41910172,70445951,-,chr9,50905866,79826934,Reference,chromosome
Species_1,chr9,63744322,67854520,-,chr9,98935968,103325205,Reference,chromosome
Species_1,chr9,92544506,104638463,+,chr9,120356143,130693942,Reference,chromosome
Species_1,chr8,33797855,46402143,-,chr8,21281689,35109026,Reference,chromosome
Species_1,chr8,96415947,103396380,+,chr8,36581225,47510960,Reference,chromosome
Species_1,chr8,120912701,167420590,-,chr8,72450611,128348283,Reference,chromosome
Species_1,chr22,12002109,21569898,+,chr22,7041495,24101383,Reference,chromosome
Species_1,chr22,34163773,38171159,-,chr22,26834058,31831219,Reference,chromosome
Species_1,chr5,2983509,21803050,-,chr5,25947744,56403796,Reference,chromosome
Species_1,chr5,49673237,78704030,+,chr5,78633091,106797503,Reference,chromosome
Species_1,chr5,74214389,98711680,+,chr5,106996448,134894603,Reference,chromosome
Species_1,chr5,118556893,120021434,+,chr5,141071312,144623362,Reference,chromosome
Species_1,chr5,153516645,160205563,+,chr5,158725830,162998792,Reference,chromosome
Species_1,chr4,15650271,28203791,-,chr4,13707035,37481541,Reference,chromosome
Species_1,chr4,43058334,44906222,+,chr4,67385640,68991174,Reference,chromosome
Species_1,chr4,56174259,60702987,+,chr4,71560220,79384476,Reference,chromosome
Species_1,chr4,85574185,86347140,+,chr4,126218996,127960685,Reference,chromosome
Species_1,chr4,137206901,173018523,-,chr4,140348125,172216244,Reference,chromosome
Species_1,chr18,17722573,22680246,-,chr18,7512440,13431395,Reference,chromosome
Species_1,chr18,30093907,33668861,-,chr18,23268806,27658609,Reference,chromosome
Species_1,chr18,41110400,56874706,-,chr18,31024204,49715257,Reference,chromosome
Species_1,chr18,50895282,54093467,+,chr18,74208492,77294551,Reference,chromosome
Species_1,chr3,61779108,97561562,-,chr3,2079600,9849851,Reference,chromosome
Species_1,chr3,86871668,145076635,-,chr3,44381573,160267818,Reference,chromosome
Species_1,chr3,96534048,100303766,+,chr3,161409267,167793897,Reference,chromosome
Species_1,chr14,4695961,24617513,-,chr14,4379569,43165906,Reference,chromosome
Species_1,chr14,60855504,79586211,+,chr14,45910237,71009467,Reference,chromosome
Species_2,chr1,2043233,66450265,+,chr1,21840174,136021056,Reference,chromosome
Species_2,chr1,212426941,253447392,+,chr1,173716665,208422521,Reference,chromosome
Species_2,chr3,58399769,76155008,+,chr3,16192217,34698788,Reference,chromosome
Species_2,chr3,74706383,112246016,-,chr3,62819576,138917119,Reference,chromosome
Species_2,chr3,126838555,150058532,-,chr3,145510386,183704988,Reference,chromosome
Species_2,chr3,136965742,139392859,-,chr3,187713743,192555830,Reference,chromosome
Species_2,chr7,29997889,54996302,+,chr7,28451727,35654999,Reference,chromosome
Species_2,chr7,100967871,135419787,-,chr7,75815222,145713028,Reference,chromosome
Species_2,chr8,10702701,22754748,+,chr8,5035851,18028708,Reference,chromosome
Species_2,chr8,36610155,57546203,+,chr8,35045504,48685442,Reference,chromosome
Species_2,chr8,103912284,139592039,+,chr8,83396202,102750176,Reference,chromosome
Species_2,chr8,117346891,135257335,-,chr8,114751207,131355017,Reference,chromosome
Species_2,chr17,4369720,27953175,-,chr17,11617244,35086263,Reference,chromosome
Species_2,chr17,74963364,79408695,-,chr17,51234072,71098339,Reference,chromosome
Species_2,chrY,4264908,14594441,+,chrY,4741196,17583522,Reference,chromosome
Species_2,chrY,14217648,18765206,+,chrY,19132747,20511512,Reference,chromosome
Species_2,chrY,23558781,26915510,-,chrY,24767318,31575984,Reference,chromosome
Species_2,chrY,33425301,34241948,+,chrY,34249942,35229942,Reference,chromosome
Species_2,chrY,52229968,56914377,-,chrY,39149309,55453911,Reference,chromosome
Species_2,chr18,3276360,15223783,-,chr18,1197775,11198499,Reference,chromosome
