ref_species,ref_chr,ref_start,ref_end,query_chr,query_start,query_end,query_strand,query_name,qry_lvl
Adineta_vaga:300k,chr1,4984,14396,chr1,49238,70904,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,chr1,606881,649071,chr3,20627262,20702659,-,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,chr1,1063861,17898661,chr1,161849,19196025,-,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,chr2,134793,15941467,chr2,45091,16321551,-,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,chr2,15961478,16158465,chr7,91485,271085,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,chr2,16195922,16274230,chr5,15076387,15837533,-,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,chr3,1115127,1219547,chr5,16764573,16795151,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,chr3,1482247,1841703,chr3,19606288,20516863,-,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,chr3,2175930,2235329,chr5,14617132,14913463,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,chr3,2329898,2369441,chr5,16171110,16355508,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,chr3,2494213,17185377,chr3,912715,13812648,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,chr3,17185378,17942968,chr3,13909150,16214136,-,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,chr3,18402706,18516323,chr1,3429771,3522269,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,chr3,19027223,19141496,chr3,723987,793575,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,chr3,19198463,19263415,chr3,17638561,17720776,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,chr3,19379767,19417244,chr3,1466048,1530461,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,chr4,159745,247308,chr5,17149614,17265206,-,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,chr4,469462,2613999,chr4,11790861,14062988,-,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,chr4,2735204,3064505,chr4,11471362,11787286,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,chr4,3072961,3801309,chr4,10767822,11467737,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,chr4,3812195,15176526,chr4,44633,10750054,-,Adineta_ricciae,Chromosomes
