ref_species,ref_chr,ref_start,ref_end,query_chr,query_start,query_end,query_strand,query_name,qry_lvl
Adineta_vaga:300k,1,4984,14396,1,49238,70904,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,1,606881,649071,3,20627262,20702659,-,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,1,1063861,17898661,1,161849,19196025,-,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,2,134793,15941467,2,45091,16321551,-,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,2,15961478,16158465,7,91485,271085,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,2,16195922,16274230,5,15076387,15837533,-,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,3,1115127,1219547,5,16764573,16795151,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,3,1482247,1841703,3,19606288,20516863,-,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,3,2175930,2235329,5,14617132,14913463,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,3,2329898,2369441,5,16171110,16355508,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,3,2494213,17185377,3,912715,13812648,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,3,17185378,17942968,3,13909150,16214136,-,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,3,18402706,18516323,1,3429771,3522269,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,3,19027223,19141496,3,723987,793575,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,3,19198463,19263415,3,17638561,17720776,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,3,19379767,19417244,3,1466048,1530461,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,4,159745,247308,5,17149614,17265206,-,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,4,469462,2613999,4,11790861,14062988,-,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,4,2735204,3064505,4,11471362,11787286,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,4,3072961,3801309,4,10767822,11467737,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,4,3812195,15176526,4,44633,10750054,-,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,5,91597,147823,3,20749576,20816660,-,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,5,757205,1218380,3,18822240,19602416,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,5,1623233,1633888,1,3197991,3265428,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,5,1857223,1919820,3,13276607,13407234,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,5,1995474,2023132,3,18285821,18411778,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,5,4043094,9977858,5,6700731,12899833,-,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,5,9984175,10332874,5,6389166,6696960,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,5,10336643,16030235,5,778240,6383617,-,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,6,52,471475,5,16042663,16733537,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,6,689361,691532,3,19720885,19723084,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,6,985712,991020,1,19107843,19113335,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,6,1288123,12684483,6,374396,12223085,-,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,6,12776839,12808697,3,19813796,19828260,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,6,13383951,13385799,3,18992216,18994115,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,6,13468788,13472004,3,13957528,13959736,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,6,13749462,13760276,1,1587715,1655497,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,6,13859854,13869567,1,2043905,2111258,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,1,454275,517200,3,374286,530119,+,Adineta_sp_wild,Chromosomes
Adineta_vaga:300k,1,612239,15078787,1,4141913,18009417,+,Adineta_sp_wild,Chromosomes
