chromosome,genomic_accession,start,end,strand,class,locus_tag,symbol,name,GeneID
chr1,NC_319465.11,17679622,55984572,+,lncRNA,,TP7483,Test Gene 384,883518
chr1,NC_911252.11,33858941,64857410,+,protein_coding,,TP6340,Test Gene 491,102648
chr1,NC_242090.11,85522226,127310074,-,protein_coding,,TP9742,Test Gene 273,677938
chr1,NC_380728.11,94971168,127729920,+,pseudogene,,LOC1832,Test Gene 833,635895
chr1,NC_404046.11,156709015,185980711,+,protein_coding,,TP4809,Test Gene 227,427379
chr10,NC_761473.11,3736666,20815072,+,lncRNA,,MIR7737,Test Gene 887,766633
chr10,NC_838154.11,29303210,43083812,+,protein_coding,,TP6780,Test Gene 86,524974
chr10,NC_692584.11,76987049,95733099,+,pseudogene,,LOC8903,Test Gene 417,770303
chr10,NC_840106.11,82824744,109382421,+,lncRNA,,MIR5194,Test Gene 228,100124
chr10,NC_836170.11,90883542,109136063,-,lncRNA,,MIR9574,Test Gene 37,424273
chr11,NC_708293.11,24424358,38216380,+,pseudogene,,LOC9368,Test Gene 938,528700
chr11,NC_340423.11,38659437,63265457,-,lncRNA,,MIR9201,Test Gene 700,871079
chr11,NC_199426.11,45812326,60611393,-,miRNA,,LINC1819,Test Gene 987,253829
chr11,NC_527264.11,50897930,67948351,+,lncRNA,,TP9784,Test Gene 914,296593
chr11,NC_673498.11,55890142,79821376,+,protein_coding,,MIR9517,Test Gene 385,498325
chr12,NC_171200.11,24156593,37882776,+,protein_coding,,LINC5438,Test Gene 806,787273
chr12,NC_477946.11,41019509,63218806,-,miRNA,,LOC8741,Test Gene 546,871798
chr12,NC_416494.11,43960005,68010081,+,protein_coding,,LOC5933,Test Gene 785,780881
chr12,NC_243205.11,66266254,83913467,+,protein_coding,,MIR5448,Test Gene 975,656643
chr12,NC_941367.11,74654859,95082521,+,lncRNA,,LINC4627,Test Gene 556,474443
chr13,NC_129920.11,9407773,31381515,+,miRNA,,MIR4210,Test Gene 148,267390
chr13,NC_592857.11,19540054,39931767,-,pseudogene,,LOC4142,Test Gene 764,593774
chr13,NC_117768.11,44401118,56798399,+,protein_coding,,LOC2004,Test Gene 981,761672
chr13,NC_627986.11,58952004,74440579,+,protein_coding,,LOC4454,Test Gene 512,375301
chr13,NC_176914.11,80048826,101429649,+,pseudogene,,LOC3354,Test Gene 478,583957
chr14,NC_685770.11,5105433,17351373,-,pseudogene,,GENE9955,Test Gene 734,973663
chr14,NC_204433.11,36520607,56938122,+,miRNA,,LINC3895,Test Gene 416,152292
chr14,NC_585252.11,42380992,54014600,+,lncRNA,,TP9093,Test Gene 279,506504
chr14,NC_701129.11,46309132,60448706,-,lncRNA,,LOC7341,Test Gene 451,508037
chr14,NC_426363.11,78860530,89645526,-,protein_coding,,LOC6558,Test Gene 463,826405
chr15,NC_388284.11,4399459,19026986,+,lncRNA,,MIR9931,Test Gene 951,388767
chr15,NC_786922.11,53165021,72005443,-,miRNA,,MIR3082,Test Gene 494,706900
chr15,NC_751863.11,57265227,75104540,+,pseudogene,,LOC3727,Test Gene 516,342840
chr15,NC_677214.11,68159926,86319673,+,protein_coding,,GENE3383,Test Gene 524,918675
chr15,NC_505893.11,69112517,87601821,+,lncRNA,,LINC2253,Test Gene 293,707801
chr16,NC_774481.11,22100393,31196044,-,protein_coding,,LOC6214,Test Gene 849,291679
chr16,NC_512613.11,24862026,38725700,+,pseudogene,,LOC4725,Test Gene 207,297947
chr16,NC_446986.11,28922268,41148421,+,lncRNA,,GENE1581,Test Gene 200,712222
chr16,NC_782664.11,33359820,47418289,+,protein_coding,,GENE9673,Test Gene 891,949900
chr16,NC_200115.11,36692306,51452127,+,miRNA,,LOC8489,Test Gene 761,351758
chr17,NC_508143.11,1903432,14124369,+,miRNA,,GENE1002,Test Gene 271,707991
chr17,NC_661023.11,29666708,43633867,+,pseudogene,,MIR7421,Test Gene 550,465336
chr17,NC_844396.11,35039361,47859560,+,pseudogene,,LINC2526,Test Gene 328,845404
chr17,NC_232295.11,36982757,49551154,+,protein_coding,,LOC8950,Test Gene 787,223056
chr17,NC_425146.11,60985750,76833473,+,miRNA,,TP1724,Test Gene 310,248411
chr18,NC_755078.11,7159970,18195072,-,miRNA,,GENE8900,Test Gene 958,220488
chr18,NC_941528.11,33737139,42762958,-,pseudogene,,GENE9851,Test Gene 889,206787
chr18,NC_355350.11,40081643,51380902,-,miRNA,,TP8356,Test Gene 494,262959
chr18,NC_322280.11,41080243,55170387,-,lncRNA,,TP8066,Test Gene 193,680016
chr18,NC_876928.11,55852553,70248699,-,pseudogene,,MIR3827,Test Gene 513,521143
chr19,NC_134065.11,12025163,19128789,+,protein_coding,,GENE5227,Test Gene 971,170781
chr19,NC_409252.11,18980824,26405519,-,pseudogene,,LOC5171,Test Gene 780,248631
chr19,NC_646389.11,27305739,34203842,+,miRNA,,LOC1736,Test Gene 753,137537
chr19,NC_564152.11,39207303,49682493,-,protein_coding,,MIR4238,Test Gene 408,300162
chr19,NC_995667.11,41733815,53352740,+,protein_coding,,LINC6213,Test Gene 631,775580
chr2,NC_701946.11,56762974,96452117,+,pseudogene,,LOC3348,Test Gene 239,752925
chr2,NC_849465.11,117046794,150161882,-,lncRNA,,MIR2791,Test Gene 569,524418
chr2,NC_280536.11,135848918,182848886,-,lncRNA,,TP6661,Test Gene 540,113212
chr2,NC_559926.11,148899938,176788182,+,miRNA,,GENE6034,Test Gene 502,662501
chr2,NC_395631.11,186260182,213012805,+,pseudogene,,TP1241,Test Gene 172,565663
chr20,NC_261010.11,22911466,30755143,-,protein_coding,,MIR6761,Test Gene 854,775171
chr20,NC_933448.11,23204108,32862634,-,protein_coding,,LINC8989,Test Gene 196,554819
chr20,NC_211332.11,41923064,53724811,+,miRNA,,TP6883,Test Gene 726,303290
chr20,NC_201695.11,44623111,53638557,-,pseudogene,,LOC1422,Test Gene 318,317899
chr20,NC_186566.11,48451364,59901642,+,pseudogene,,LOC1904,Test Gene 556,192796
chr21,NC_858895.11,23356558,29743729,+,protein_coding,,LINC5226,Test Gene 882,554512
chr21,NC_559243.11,25037547,30331339,-,miRNA,,GENE9493,Test Gene 442,230073
chr21,NC_828881.11,28097381,35357329,+,lncRNA,,LINC4993,Test Gene 148,686167
chr21,NC_151756.11,30931554,35941435,+,pseudogene,,LOC5335,Test Gene 379,938468
chr21,NC_441499.11,32850290,41837079,+,pseudogene,,LINC5405,Test Gene 371,975571
chr22,NC_494590.11,10145663,17722165,+,protein_coding,,LOC4880,Test Gene 544,902859
chr22,NC_352541.11,18525563,24844970,-,pseudogene,,LINC8644,Test Gene 338,427631
chr22,NC_565164.11,21765511,30151029,-,lncRNA,,TP8494,Test Gene 424,925984
chr22,NC_335405.11,30420671,39005047,+,lncRNA,,MIR4868,Test Gene 975,443666
chr22,NC_647517.11,35738290,41364690,-,lncRNA,,LINC3659,Test Gene 679,913853
chr3,NC_841787.11,35203000,69923418,+,pseudogene,,GENE2300,Test Gene 518,476005
chr3,NC_865561.11,42528972,75682762,-,pseudogene,,LOC2002,Test Gene 15,829249
chr3,NC_619064.11,60430936,94526402,+,miRNA,,LOC9280,Test Gene 234,423522
chr3,NC_726446.11,103554419,135817165,+,miRNA,,TP1519,Test Gene 925,373358
chr3,NC_770399.11,153606573,182478452,-,lncRNA,,LINC6118,Test Gene 741,135748
chr4,NC_817512.11,1680439,37589194,+,miRNA,,LOC3838,Test Gene 263,249683
chr4,NC_844302.11,20579999,40665769,-,miRNA,,GENE9455,Test Gene 953,993397
chr4,NC_840291.11,29373865,52107128,+,lncRNA,,LOC9183,Test Gene 747,221802
chr4,NC_667010.11,43643341,80836106,+,miRNA,,TP6396,Test Gene 304,599393
chr4,NC_398054.11,94902625,118859776,-,pseudogene,,GENE3127,Test Gene 685,493673
chr5,NC_881687.11,50044836,74256242,+,protein_coding,,LOC6005,Test Gene 202,198721
chr5,NC_745238.11,79586929,109663485,-,miRNA,,MIR5218,Test Gene 722,487942
chr5,NC_590464.11,96500780,124870239,-,miRNA,,GENE3634,Test Gene 570,870334
chr5,NC_620226.11,100339717,131081820,+,miRNA,,MIR8615,Test Gene 997,489296
chr5,NC_829033.11,111817788,138193224,+,lncRNA,,LINC9055,Test Gene 446,488698
chr6,NC_238284.11,4442733,29858565,-,miRNA,,TP3775,Test Gene 576,119439
chr6,NC_522175.11,17910211,36890753,-,protein_coding,,MIR7965,Test Gene 103,712042
chr6,NC_762023.11,89561983,110884064,+,protein_coding,,LOC1894,Test Gene 927,208104
chr6,NC_672625.11,127068558,148063812,-,pseudogene,,MIR7973,Test Gene 314,307779
chr6,NC_347566.11,127337697,156159736,-,miRNA,,LOC6132,Test Gene 65,356314
chr7,NC_118212.11,29020831,55964102,+,lncRNA,,MIR1066,Test Gene 213,819042
chr7,NC_529377.11,31480345,56511090,+,lncRNA,,LOC5219,Test Gene 733,874156
chr7,NC_172684.11,48851588,77280513,+,miRNA,,LINC2225,Test Gene 863,465840
chr7,NC_867915.11,60524667,90090228,-,miRNA,,TP9447,Test Gene 797,109173
chr7,NC_292934.11,116765148,143142088,+,miRNA,,TP4002,Test Gene 922,679745
chr8,NC_485243.11,13077275,30334609,-,protein_coding,,GENE7199,Test Gene 892,923173
chr8,NC_713792.11,17491942,41095811,-,protein_coding,,LINC2879,Test Gene 66,192781
chr8,NC_357037.11,26658517,49715281,-,pseudogene,,LOC6741,Test Gene 120,280013
chr8,NC_487128.11,75062227,91485892,-,protein_coding,,GENE5896,Test Gene 942,249361
chr8,NC_757086.11,75534428,101214534,-,miRNA,,TP5538,Test Gene 392,681056
chr9,NC_119807.11,36695199,57023250,+,miRNA,,LINC8295,Test Gene 332,751098
chr9,NC_321365.11,75189030,92618859,+,protein_coding,,GENE7461,Test Gene 20,118766
chr9,NC_836193.11,86767683,102518762,+,protein_coding,,MIR7236,Test Gene 436,385825
chr9,NC_895531.11,92590811,110578000,-,protein_coding,,TP5905,Test Gene 419,982675
chr9,NC_116676.11,110433936,135229378,+,pseudogene,,LOC9798,Test Gene 894,911907
chrX,NC_494408.11,14320173,39258023,+,miRNA,,GENE4349,Test Gene 14,576687
chrX,NC_743187.11,42559891,66277610,-,lncRNA,,LOC4455,Test Gene 766,562875
chrX,NC_647947.11,60524978,80849547,-,miRNA,,LOC7991,Test Gene 80,466212
chrX,NC_192398.11,61898414,79450282,+,protein_coding,,LOC7790,Test Gene 123,148414
chrX,NC_939010.11,79138434,109547273,-,pseudogene,,MIR9831,Test Gene 394,940358
chrY,NC_146917.11,314037,7069337,+,pseudogene,,LOC1609,Test Gene 674,361601
chrY,NC_939276.11,3181869,12625123,+,lncRNA,,LOC6480,Test Gene 990,873376
chrY,NC_609817.11,6219710,15351695,-,lncRNA,,MIR1703,Test Gene 740,443208
chrY,NC_671662.11,6386958,13855091,+,pseudogene,,GENE3360,Test Gene 857,271488
chrY,NC_623497.11,21036472,28539123,+,lncRNA,,MIR8247,Test Gene 91,933179
