species_name,chr_id,chr_type,chr_size_bp,centromere_start,centromere_end
Adineta_ricciae,Scaffold_3,Scaffold,21077837,,
Adineta_ricciae,Scaffold_1,Scaffold,20932626,,
Adineta_ricciae,Scaffold_5,Scaffold,17364795,,
Adineta_ricciae,Scaffold_2,Scaffold,17106630,,
Adineta_ricciae,Scaffold_4,Scaffold,14212539,,
Adineta_ricciae,Scaffold_6,Scaffold,13338185,,
Adineta_ricciae,Scaffold_7,Scaffold,319596,,
Adineta_ricciae,Scaffold_8,Scaffold,284254,,
Adineta_ricciae,Scaffold_9,Scaffold,101667,,
Adineta_ricciae,Scaffold_10,Scaffold,87685,,
Adineta_ricciae,Scaffold_11,Scaffold,66092,,
